id,country,league,season,round,date,time,count,home,away,homeScore,awayScore,homeGoals,homeScorers,homeAsists,awayGoals,awayScorers,awayAsists,1HalfStats home Ball Possession,1HalfStats away Ball Possession,1HalfStats home Goal Attempts,1HalfStats away Goal Attempts,1HalfStats home Shots on Goal,1HalfStats away Shots on Goal,1HalfStats home Shots off Goal,1HalfStats away Shots off Goal,1HalfStats home Blocked Shots,1HalfStats away Blocked Shots,1HalfStats home Free Kicks,1HalfStats away Free Kicks,1HalfStats home Corner Kicks,1HalfStats away Corner Kicks,1HalfStats home Offsides,1HalfStats away Offsides,1HalfStats home Throw-in,1HalfStats away Throw-in,1HalfStats home Goalkeeper Saves,1HalfStats away Goalkeeper Saves,1HalfStats home Fouls,1HalfStats away Fouls,1HalfStats home Yellow Cards,1HalfStats away Yellow Cards,1HalfStats home Red Cards,1HalfStats away Red Cards,1HalfStats home Total Passes,1HalfStats away Total Passes,1HalfStats home Completed Passes,1HalfStats away Completed Passes,1HalfStats home Tackles,1HalfStats away Tackles,1HalfStats home Attacks,1HalfStats away Attacks,1HalfStats home Dangerous Attacks,1HalfStats away Dangerous Attacks,2HalfStats home Ball Possession,2HalfStats away Ball Possession,2HalfStats home Goal Attempts,2HalfStats away Goal Attempts,2HalfStats home Shots on Goal,2HalfStats away Shots on Goal,2HalfStats home Shots off Goal,2HalfStats away Shots off Goal,2HalfStats home Blocked Shots,2HalfStats away Blocked Shots,2HalfStats home Free Kicks,2HalfStats away Free Kicks,2HalfStats home Corner Kicks,2HalfStats away Corner Kicks,2HalfStats home Offsides,2HalfStats away Offsides,2HalfStats home Throw-in,2HalfStats away Throw-in,2HalfStats home Goalkeeper Saves,2HalfStats away Goalkeeper Saves,2HalfStats home Fouls,2HalfStats away Fouls,2HalfStats home Yellow Cards,2HalfStats away Yellow Cards,2HalfStats home Red Cards,2HalfStats away Red Cards,2HalfStats home Total Passes,2HalfStats away Total Passes,2HalfStats home Completed Passes,2HalfStats away Completed Passes,2HalfStats home Tackles,2HalfStats away Tackles,2HalfStats home Attacks,2HalfStats away Attacks,2HalfStats home Dangerous Attacks,2HalfStats away Dangerous Attacks,moneyLineOdds home,moneyLineOdds draw,moneyLineOdds away,overUnderOdds over0.5,overUnderOdds under0.5,overUnderOdds over1.5,overUnderOdds under1.5,overUnderOdds over2.5,overUnderOdds under2.5,overUnderOdds over3.5,overUnderOdds under3.5
384,france,ligue-1,2021-2022,FINALS,29.05.2022,12:00,384 out of 384,St Etienne,"Auxerre
Winner",1,2,"['76', '2', '3', '4', '5']","['Camara M.', 'Nordin A.', 'Trauco M.', 'Diousse A.', 'Bouanga D.']","['Crivelli E.', 'noName', 'noName', 'noName', 'noName']","['51', '1', '2', '3', '4', '5']","['Sakhi H.', 'Dugimont R.', 'Jubal', 'Perrin G.', 'Charbonier G.', 'Toure B.']","['Autret M.', 'noName', 'noName', 'noName', 'noName', 'noName']",44%,56%,6,7,3,1,0,5,3,1,5,6,4,0,0,0,13,15,1,3,6,5,0,0,0,0,185,249,139,201,11,4,54,47,20,16,52%,48%,9,4,4,1,3,3,2,0,6,4,4,1,0,2,16,12,0,3,3,4,0,1,0,0,230,213,174,155,11,13,83,45,26,13,2.05,3.40,3.55,1.03,9.30,1.29,3.30,1.95,1.80,3.30,1.29
383,france,ligue-1,2021-2022,FINALS,26.05.2022,12:00,383 out of 384,Auxerre,St Etienne,1,1,['86'],['Perrin G.'],['noName'],['15'],['Youssouf Z.'],['noName'],58%,42%,6,6,3,2,2,2,1,2,10,5,4,1,2,2,12,11,1,3,3,5,0,0,0,0,236,178,192,137,4,7,51,53,31,12,62%,38%,6,4,2,1,3,3,1,0,10,13,1,3,1,5,13,11,1,1,9,4,1,1,0,0,238,134,184,83,16,6,62,53,19,19,2.45,3.20,3.10,1.04,8.60,1.32,3.15,2.08,1.70,3.65,1.25
382,france,ligue-1,2021-2022,38,21.05.2022,14:00,382 out of 384,Angers,Montpellier,2,0,"['45', '67']","['Mangani T.', 'Pereira Lage M.']","['noName', 'Mendy B.']",[],[],[],55%,45%,13,5,2,0,8,2,3,3,9,9,2,1,0,0,5,9,0,1,9,9,0,2,0,0,291,242,0,202,6,13,76,38,34,22,49%,51%,6,9,1,1,3,7,2,1,4,8,2,2,0,3,5,9,1,0,8,3,1,2,0,0,226,232,449,190,7,8,41,60,22,23,2.10,3.70,3.45,1.02,12.75,1.19,4.30,1.66,2.22,2.57,1.48
381,france,ligue-1,2021-2022,38,21.05.2022,14:00,381 out of 384,Brest,Bordeaux,2,4,"['16', '34']","['Mounie S.', 'Belaili Y.']","['Del Castillo R.', 'Del Castillo R.']","['14', '32', '73', '75']","['Mangas R.', 'Mara S.', 'Mara S.', 'Dilrosun J.']","['Ignatenko D.', 'noName', 'noName', 'Guilavogui J.']",53%,47%,8,6,5,3,0,2,3,1,8,5,7,0,0,0,11,4,1,3,5,8,1,0,0,0,240,221,214,193,1,7,48,32,22,9,43%,57%,3,9,2,4,1,3,0,2,4,6,3,1,1,0,9,7,2,2,5,4,0,0,0,0,185,271,151,222,7,11,61,50,27,6,1.65,4.50,4.75,1.01,15.00,1.12,5.70,1.44,2.78,2.05,1.76
380,france,ligue-1,2021-2022,38,21.05.2022,14:00,380 out of 384,Clermont,Lyon,1,2,['59'],['Bayo M.'],['noName'],"['26', '49']","['Dembele M.', 'Aouar H.']","['Tete', 'Henrique']",47%,53%,7,10,0,2,5,4,2,4,10,8,4,1,0,0,2,6,1,0,7,10,1,1,0,0,223,254,195,0,0,9,33,60,27,26,43%,57%,11,11,3,3,2,2,6,6,4,3,6,3,1,0,12,11,2,2,3,5,1,1,0,0,178,252,149,0,19,9,45,52,31,28,3.55,4.20,1.95,1.01,15.00,1.10,6.50,1.38,3.00,1.92,1.87
379,france,ligue-1,2021-2022,38,21.05.2022,14:00,379 out of 384,Lens,Monaco,2,2,"['30', '90+5']","['Frankowski P.', 'Ganago I.']","['noName', 'Danso K.']","['34', '62']","['Badiashile B.', 'Ben Yedder W.']","['noName', 'Volland K.']",56%,44%,16,6,6,1,6,3,4,2,3,1,3,2,0,1,8,11,0,5,1,2,1,0,0,0,297,234,0,187,10,4,56,62,24,19,64%,36%,12,6,4,4,4,0,4,2,6,4,7,6,0,1,12,11,3,3,4,5,1,3,0,0,251,130,467,84,3,8,66,32,50,12,3.45,3.80,2.05,1.01,15.00,1.14,5.25,1.51,2.53,2.25,1.64
378,france,ligue-1,2021-2022,38,21.05.2022,14:00,378 out of 384,Lille,Rennes,2,2,"['11', '88']","['Weah T.', 'Weah T.']","['noName', 'Celik Z.']","['41', '90+2']","['Bourigeaud B.', 'Guirassy S.']","['noName', 'Truffert A.']",51%,49%,2,6,1,1,0,3,1,2,9,5,2,2,0,0,16,8,0,0,5,7,1,1,0,0,245,228,196,189,0,0,53,56,18,23,47%,53%,11,7,3,2,4,1,4,4,5,7,5,2,0,1,8,8,1,2,7,7,1,1,0,0,202,235,178,197,7,20,49,61,26,21,3.75,3.85,1.95,1.01,13.50,1.18,4.60,1.60,2.33,2.42,1.53
377,france,ligue-1,2021-2022,38,21.05.2022,14:00,377 out of 384,Lorient,Troyes,1,1,['74'],['Lauriente A.'],['Ouattara Da.'],['22'],['Touzghar Y.'],['Ripart R.'],59%,41%,8,5,4,3,4,2,0,0,4,8,4,3,0,0,12,2,2,4,8,4,0,0,0,0,280,189,0,160,4,9,62,40,30,15,57%,43%,9,3,2,0,3,1,4,2,6,10,2,1,0,0,9,9,0,1,10,6,2,2,0,1,253,196,0,165,12,8,53,28,37,19,2.25,3.65,3.20,1.02,12.00,1.22,4.10,1.72,2.10,2.74,1.43
376,france,ligue-1,2021-2022,38,21.05.2022,14:00,376 out of 384,Marseille,Strasbourg,4,0,"['32', '73', '89', '90+2']","['Gerson', 'Under C.', 'Gerson', 'Bakambu C.']","['noName', 'Harit A.', 'Milik A.', 'noName']",[],[],[],64%,36%,6,4,3,2,2,2,1,0,5,6,3,1,1,0,7,8,2,2,4,6,1,0,0,0,289,156,249,116,8,9,59,35,30,22,58%,42%,11,6,8,2,3,3,0,1,11,7,4,2,0,1,4,7,2,5,7,10,1,1,0,0,234,180,195,145,3,9,43,45,22,15,2.10,3.25,3.90,1.05,8.90,1.32,3.25,2.04,1.77,3.50,1.29
375,france,ligue-1,2021-2022,38,21.05.2022,14:00,375 out of 384,Nantes,St Etienne,1,1,['23'],['Blas L.'],['noName'],['79'],['Hamouma R.'],['Bouanga D.'],54%,46%,6,2,2,0,3,0,1,2,3,4,4,2,0,0,14,5,0,1,4,4,1,0,0,0,285,243,0,0,8,13,59,62,19,11,52%,48%,6,11,3,3,2,3,1,5,7,5,1,3,1,2,11,19,2,3,4,5,1,0,0,0,211,190,0,0,9,7,41,57,15,28,2.45,3.55,2.85,1.01,14.00,1.16,4.95,1.58,2.38,2.37,1.55
374,france,ligue-1,2021-2022,38,21.05.2022,14:00,374 out of 384,Paris SG,Metz,5,0,"['25', '28', '31', '50', '67']","['Mbappe K.', 'Mbappe K.', 'Neymar', 'Mbappe K.', 'Di Maria A.']","['Di Maria A.', 'Messi L.', 'noName', 'noName', 'noName']",[],[],[],70%,30%,13,4,6,1,4,2,3,1,8,3,2,1,0,1,5,11,1,3,3,7,0,1,0,0,401,161,363,132,9,14,60,39,24,22,81%,19%,14,0,6,0,6,0,2,0,6,6,2,1,2,1,10,1,0,4,4,5,1,1,0,1,360,79,336,50,6,11,78,22,40,4,1.13,11.00,19.00,0,0,1.03,10.75,1.19,4.60,1.50,2.51
