id,country,league,season,round,date,time,count,home,away,homeScore,awayScore,homeGoals,homeScorers,homeAsists,awayGoals,awayScorers,awayAsists,1HalfStats home Ball Possession,1HalfStats away Ball Possession,1HalfStats home Goal Attempts,1HalfStats away Goal Attempts,1HalfStats home Shots on Goal,1HalfStats away Shots on Goal,1HalfStats home Shots off Goal,1HalfStats away Shots off Goal,1HalfStats home Blocked Shots,1HalfStats away Blocked Shots,1HalfStats home Free Kicks,1HalfStats away Free Kicks,1HalfStats home Corner Kicks,1HalfStats away Corner Kicks,1HalfStats home Offsides,1HalfStats away Offsides,1HalfStats home Throw-in,1HalfStats away Throw-in,1HalfStats home Goalkeeper Saves,1HalfStats away Goalkeeper Saves,1HalfStats home Fouls,1HalfStats away Fouls,1HalfStats home Yellow Cards,1HalfStats away Yellow Cards,1HalfStats home Red Cards,1HalfStats away Red Cards,1HalfStats home Total Passes,1HalfStats away Total Passes,1HalfStats home Completed Passes,1HalfStats away Completed Passes,1HalfStats home Tackles,1HalfStats away Tackles,1HalfStats home Attacks,1HalfStats away Attacks,1HalfStats home Dangerous Attacks,1HalfStats away Dangerous Attacks,2HalfStats home Ball Possession,2HalfStats away Ball Possession,2HalfStats home Goal Attempts,2HalfStats away Goal Attempts,2HalfStats home Shots on Goal,2HalfStats away Shots on Goal,2HalfStats home Shots off Goal,2HalfStats away Shots off Goal,2HalfStats home Blocked Shots,2HalfStats away Blocked Shots,2HalfStats home Free Kicks,2HalfStats away Free Kicks,2HalfStats home Corner Kicks,2HalfStats away Corner Kicks,2HalfStats home Offsides,2HalfStats away Offsides,2HalfStats home Throw-in,2HalfStats away Throw-in,2HalfStats home Goalkeeper Saves,2HalfStats away Goalkeeper Saves,2HalfStats home Fouls,2HalfStats away Fouls,2HalfStats home Yellow Cards,2HalfStats away Yellow Cards,2HalfStats home Red Cards,2HalfStats away Red Cards,2HalfStats home Total Passes,2HalfStats away Total Passes,2HalfStats home Completed Passes,2HalfStats away Completed Passes,2HalfStats home Tackles,2HalfStats away Tackles,2HalfStats home Attacks,2HalfStats away Attacks,2HalfStats home Dangerous Attacks,2HalfStats away Dangerous Attacks,moneyLineOdds home,moneyLineOdds draw,moneyLineOdds away,overUnderOdds over0.5,overUnderOdds under0.5,overUnderOdds over1.5,overUnderOdds under1.5,overUnderOdds over2.5,overUnderOdds under2.5,overUnderOdds over3.5,overUnderOdds under3.5
380,england,premier-league,2020-2021,38,23.05.2021,10:00,380 out of 380,Arsenal,Brighton,2,0,"['49', '60']","['Pepe N.', 'Pepe N.']","['Chambers C.', 'Odegaard M.']",[],[],[],61%,39%,11,2,3,0,4,1,4,1,5,4,8,1,1,1,8,3,0,3,3,4,0,0,0,0,314,197,0,0,5,5,63,32,42,19,46%,54%,5,3,2,1,3,2,0,0,4,8,3,2,1,0,6,2,1,0,7,4,0,0,0,0,251,292,0,0,9,12,37,34,26,18,1.67,3.85,5.00,0,0,1.22,4.20,1.65,2.20,2.60,1.48
379,england,premier-league,2020-2021,38,23.05.2021,10:00,379 out of 380,Aston Villa,Chelsea,2,1,"['43', '52']","['Traore B.', 'El-Ghazi A.']","['Targett M.', 'noName']",['70'],['Chilwell B.'],['Pulisic C.'],32%,68%,4,9,2,4,2,4,0,1,8,4,1,5,0,0,5,14,4,1,3,8,0,2,0,0,144,300,0,0,7,8,38,57,11,43,26%,74%,2,14,1,3,1,7,0,4,5,8,1,4,0,2,7,13,2,0,8,4,3,2,0,1,106,298,0,0,7,10,30,76,11,48,6.50,4.20,1.50,0,0,1.20,4.50,1.62,2.25,2.55,1.50
378,england,premier-league,2020-2021,38,23.05.2021,10:00,378 out of 380,Fulham,Newcastle,0,2,[],[],[],"['23', '88']","['Willock J.', 'Schar F.']","['noName', 'noName']",59%,41%,8,6,0,3,4,1,4,2,4,5,2,4,1,0,8,9,2,0,3,4,0,0,0,0,314,225,0,0,9,7,71,35,31,14,69%,31%,6,4,0,1,3,2,3,1,2,9,3,0,0,0,13,13,0,0,9,2,1,0,0,0,283,108,0,0,9,6,58,23,43,14,2.14,3.55,3.20,0,0,1.25,3.85,1.75,2.05,2.88,1.40
377,england,premier-league,2020-2021,38,23.05.2021,10:00,377 out of 380,Leeds,West Brom,3,1,"['17', '42', '79']","['Rodrigo', 'Phillips K.', 'Bamford P.']","['Raphinha', 'noName', 'noName']",['90'],['Robson-Kanu H.'],['noName'],64%,36%,4,4,2,1,1,2,1,1,8,10,2,0,2,3,10,11,1,0,7,5,1,1,0,0,246,135,0,0,13,7,52,46,18,22,64%,36%,13,10,7,4,2,4,4,2,6,6,6,3,1,0,9,4,3,6,5,7,1,0,0,0,253,133,0,0,8,12,55,43,41,14,1.45,4.85,6.00,0,0,1.17,5.00,1.50,2.55,2.25,1.62
376,england,premier-league,2020-2021,38,23.05.2021,10:00,376 out of 380,Leicester,Tottenham,2,4,"['18', '52']","['Vardy J.', 'Vardy J.']","['noName', 'noName']","['41', '76', '87', '90+6']","['Kane H.', 'Schmeichel K.', 'Bale G.', 'Bale G.']","['noName', 'noName', 'Kane H.', 'noName']",46%,54%,5,4,3,1,0,0,2,3,2,6,2,3,0,1,14,10,0,2,7,1,0,0,0,0,221,259,0,0,14,8,43,61,28,26,48%,52%,5,7,3,3,2,2,0,2,5,5,6,4,3,0,12,16,0,2,2,7,0,2,0,0,223,233,0,0,14,10,40,54,20,33,2.00,3.75,3.40,0,0,1.17,5.00,1.53,2.45,2.30,1.60
375,england,premier-league,2020-2021,38,23.05.2021,10:00,375 out of 380,Liverpool,Crystal Palace,2,0,"['36', '74']","['Mane S.', 'Mane S.']","['Firmino R.', 'Salah M.']",[],[],[],68%,32%,12,4,2,3,7,1,3,0,4,6,8,1,2,0,10,8,3,1,4,4,0,0,0,0,269,124,0,0,5,8,69,48,39,6,72%,28%,7,1,3,1,3,0,1,0,5,6,6,0,0,1,11,10,1,2,6,4,2,2,0,0,319,139,0,0,10,16,63,31,45,4,1.17,7.50,15.00,0,0,1.08,7.50,1.30,3.40,1.80,2.00
374,england,premier-league,2020-2021,38,23.05.2021,10:00,374 out of 380,Manchester City,Everton,5,0,"['11', '14', '53', '71', '76']","['De Bruyne K.', 'Jesus G.', 'Foden P.', 'Aguero S.', 'Aguero S.']","['Mahrez R.', 'De Bruyne K.', 'Sterling R.', 'Fernandinho', 'Fernandinho']",[],[],[],66%,34%,8,7,4,3,3,1,1,3,7,4,4,2,1,0,8,7,3,2,4,7,1,2,0,0,352,183,0,0,5,7,72,42,21,11,70%,30%,13,1,7,0,3,1,3,0,4,4,3,3,0,1,7,8,0,4,4,3,1,0,0,0,373,157,0,0,5,5,67,42,19,11,1.45,4.35,7.00,0,0,1.14,5.50,1.45,2.70,2.10,1.70
373,england,premier-league,2020-2021,38,23.05.2021,10:00,373 out of 380,Sheffield Utd,Burnley,1,0,['24'],['McGoldrick D.'],['Stevens E.'],[],[],[],38%,62%,6,6,2,3,3,1,1,2,0,5,2,4,1,0,8,11,3,1,4,0,2,0,0,0,159,275,0,0,14,6,44,73,22,38,48%,52%,6,4,1,0,4,2,1,2,2,8,6,5,1,1,6,14,0,1,7,1,1,1,0,0,202,207,0,0,5,10,58,64,27,35,2.75,3.45,2.45,0,0,1.25,3.75,1.80,2.00,2.95,1.38
372,england,premier-league,2020-2021,38,23.05.2021,10:00,372 out of 380,West Ham,Southampton,3,0,"['30', '33', '86']","['Fornals P.', 'Fornals P.', 'Rice D.']","['noName', 'Coufal V.', 'Fornals P.']",[],[],[],44%,56%,9,8,6,2,3,4,0,2,6,3,1,1,2,1,11,10,2,4,1,5,0,0,0,0,191,247,0,0,5,11,61,45,27,15,30%,70%,5,9,1,3,3,4,1,2,5,7,1,2,3,1,11,11,3,0,4,4,0,3,0,0,109,287,0,0,7,12,41,52,18,23,1.77,4.00,4.10,0,0,1.25,3.95,1.70,2.10,2.75,1.44
371,england,premier-league,2020-2021,38,23.05.2021,10:00,371 out of 380,Wolves,Manchester Utd,1,2,['39'],['Semedo N.'],['Silva F.'],"['13', '45+4']","['Elanga A.', 'Mata J.']","['James D.', 'noName']",51%,49%,5,7,1,3,3,4,1,0,2,4,4,2,0,0,9,10,1,0,5,2,2,0,0,0,227,226,0,0,8,8,45,48,25,21,63%,37%,9,2,3,1,3,1,3,0,2,10,2,0,1,1,11,7,1,3,9,1,2,1,0,0,344,214,0,0,11,6,91,45,48,13,2.30,3.25,3.20,1.07,8.00,1.40,2.88,2.20,1.65,4.20,1.22
